player_id,event_date,event_game,score,medal,team
27049,2025-01-10,Racing,1,bronze,Summer
27049,2025-01-10,Swimming,0,not played,Summer
27049,2025-01-10,Flying,1,bronze,Summer
27049,2025-01-10,Skydiving,2,silver,Summer
27049,2025-01-10,Diving,2,silver,Summer
27049,2025-01-10,Shooting,3,gold,Summer
78198,2025-01-10,Racing,2,silver,Summer
78198,2025-01-10,Swimming,3,gold,Summer
78198,2025-01-10,Flying,2,silver,Summer
78198,2025-01-10,Skydiving,0,not played,Summer
78198,2025-01-10,Diving,1,bronze,Summer
78198,2025-01-10,Shooting,1,bronze,Summer
88424,2025-01-10,Racing,2,silver,Summer
88424,2025-01-10,Swimming,1,bronze,Summer
88424,2025-01-10,Flying,0,not played,Summer
88424,2025-01-10,Skydiving,2,silver,Summer
88424,2025-01-10,Diving,3,gold,Summer
88424,2025-01-10,Shooting,1,bronze,Summer
73176,2025-01-10,Racing,3,gold,Summer
73176,2025-01-10,Swimming,3,gold,Summer
73176,2025-01-10,Flying,2,silver,Summer
73176,2025-01-10,Skydiving,1,bronze,Summer
73176,2025-01-10,Diving,1,bronze,Summer
73176,2025-01-10,Shooting,0,not played,Summer
31633,2025-01-10,Racing,2,silver,Summer
31633,2025-01-10,Swimming,0,not played,Summer
31633,2025-01-10,Flying,0,not played,Summer
31633,2025-01-10,Skydiving,2,silver,Summer
31633,2025-01-10,Diving,3,gold,Summer
31633,2025-01-10,Shooting,1,bronze,Summer
27312,2025-01-10,Racing,2,silver,Summer
27312,2025-01-10,Swimming,2,silver,Summer
27312,2025-01-10,Flying,0,not played,Summer
27312,2025-01-10,Skydiving,0,not played,Summer
27312,2025-01-10,Diving,3,gold,Summer
27312,2025-01-10,Shooting,3,gold,Summer
61389,2025-01-10,Racing,3,gold,Summer
61389,2025-01-10,Swimming,2,silver,Summer
61389,2025-01-10,Flying,3,gold,Summer
61389,2025-01-10,Skydiving,3,gold,Summer
61389,2025-01-10,Diving,3,gold,Summer
61389,2025-01-10,Shooting,3,gold,Summer
15920,2025-01-10,Racing,2,silver,Summer
15920,2025-01-10,Swimming,0,not played,Summer
15920,2025-01-10,Flying,0,not played,Summer
15920,2025-01-10,Skydiving,2,silver,Summer
15920,2025-01-10,Diving,2,silver,Summer
15920,2025-01-10,Shooting,3,gold,Summer
